País,ano,quantidade,valor_usd
Arábia Saudita,1980,0,0
Arábia Saudita,1981,0,0
Arábia Saudita,1982,0,0
Arábia Saudita,1983,0,0
Arábia Saudita,1984,0,0
Arábia Saudita,1985,0,0
Arábia Saudita,1986,0,0
Arábia Saudita,1987,0,0
Arábia Saudita,1988,0,0
Arábia Saudita,1989,0,0
Arábia Saudita,1990,0,0
Arábia Saudita,1991,0,0
Arábia Saudita,1992,0,0
Arábia Saudita,1993,0,0
Arábia Saudita,1994,0,0
Arábia Saudita,1995,0,0
Arábia Saudita,1996,0,0
Arábia Saudita,1997,0,0
Arábia Saudita,1998,0,0
Arábia Saudita,1999,0,0
Arábia Saudita,2000,0,0
Arábia Saudita,2001,0,0
Arábia Saudita,2002,0,0
Arábia Saudita,2003,18000,16900
Arábia Saudita,2004,0,0
Arábia Saudita,2005,0,0
Arábia Saudita,2006,0,0
Arábia Saudita,2007,0,0
Arábia Saudita,2008,0,0
Arábia Saudita,2009,0,0
Arábia Saudita,2010,0,0
Arábia Saudita,2011,0,0
Arábia Saudita,2012,0,0
Arábia Saudita,2013,0,0
Arábia Saudita,2014,0,0
Arábia Saudita,2015,0,0
Arábia Saudita,2016,0,0
Arábia Saudita,2017,0,0
Arábia Saudita,2018,0,0
Arábia Saudita,2019,0,0
Arábia Saudita,2020,0,0
Arábia Saudita,2021,0,0
Arábia Saudita,2022,0,0
Arábia Saudita,2023,0,0
Argentina,1970,1530058,845068
Argentina,1971,1206326,936632
Argentina,1972,1047482,981648
Argentina,1973,1277380,1848195
Argentina,1974,1004987,1154210
Argentina,1975,1583972,1142114
Argentina,1976,2731566,2573741
Argentina,1977,2549687,2663929
Argentina,1978,2385266,2683017
Argentina,1979,1527094,3998797
Argentina,1980,1586137,3707049
Argentina,1981,1558200,1937074
Argentina,1982,1875664,1739134
Argentina,1983,2238826,1476166
Argentina,1984,1662475,1626556
Argentina,1985,1519220,1420332
Argentina,1986,2116776,2515764
Argentina,1987,3011500,2988697
Argentina,1988,7894789,7741832
Argentina,1989,6392930,6765394
Argentina,1990,3758190,3641098
Argentina,1991,4726726,4931971
Argentina,1992,3061443,4023359
Argentina,1993,1772727,3079487
Argentina,1994,4433113,5435003
Argentina,1995,4172453,4708913
Argentina,1996,7103048,8416185
Argentina,1997,5673231,8436301
Argentina,1998,4237403,6256924
Argentina,1999,3438508,4855950
Argentina,2000,3367629,3886025
Argentina,2001,2634368,2444780
Argentina,2002,10502997,7213368
Argentina,2003,6449180,5741921
Argentina,2004,12287672,14106821
Argentina,2005,10271403,12379126
Argentina,2006,11555010,14810371
Argentina,2007,15203133,19187668
Argentina,2008,15641645,26994373
Argentina,2009,17209323,24106889
Argentina,2010,17279688,34499504
Argentina,2011,20533473,43262321
Argentina,2012,19728826,43648893
Argentina,2013,20571302,47105230
Argentina,2014,14681136,34049473
Argentina,2015,20905602,32341307
Argentina,2016,23280908,34643821
Argentina,2017,19742996,34422405
Argentina,2018,23564519,43501396
Argentina,2019,24135143,48810789
Argentina,2020,24992502,36743996
Argentina,2021,24015825,33337604
Argentina,2022,20829418,35659325
Argentina,2023,19758017,36404746
Austrália,1970,0,0
Austrália,1971,0,0
Austrália,1972,89025,52819
Austrália,1973,0,0
Austrália,1974,88754,88567
Austrália,1975,66750,59852
Austrália,1976,0,0
Austrália,1977,0,0
Austrália,1978,0,0
Austrália,1979,0,0
Austrália,1980,0,0
Austrália,1981,0,0
Austrália,1982,0,0
Austrália,1983,0,0
Austrália,1984,0,0
Austrália,1985,0,0
Austrália,1986,0,0
Austrália,1987,0,0
Austrália,1988,0,0
Austrália,1989,0,0
Austrália,1990,0,0
Austrália,1991,0,0
Austrália,1992,0,0
Austrália,1993,0,0
Austrália,1994,0,0
Austrália,1995,0,0
Austrália,1996,0,0
Austrália,1997,0,0
Austrália,1998,0,0
Austrália,1999,0,0
Austrália,2000,0,0
Austrália,2001,0,0
Austrália,2002,0,0
Austrália,2003,0,0
Austrália,2004,0,0
Austrália,2005,0,0
Austrália,2006,0,0
Austrália,2007,0,0
Austrália,2008,0,0
Austrália,2009,0,0
Austrália,2010,0,0
Austrália,2011,0,0
Austrália,2012,0,0
Austrália,2013,0,0
Austrália,2014,0,0
Austrália,2015,0,0
Austrália,2016,0,0
Austrália,2017,0,0
Austrália,2018,0,0
Austrália,2019,0,0
Austrália,2020,0,0
Austrália,2021,0,0
Austrália,2022,0,0
Austrália,2023,0,0
Bélgica,1970,0,0
Bélgica,1971,0,0
Bélgica,1972,0,0
Bélgica,1973,0,0
Bélgica,1974,0,0
Bélgica,1975,0,0
Bélgica,1976,0,0
Bélgica,1977,0,0
Bélgica,1978,0,0
Bélgica,1979,0,0
Bélgica,1980,0,0
Bélgica,1981,0,0
Bélgica,1982,0,0
Bélgica,1983,0,0
Bélgica,1984,0,0
Bélgica,1985,0,0
Bélgica,1986,0,0
Bélgica,1987,0,0
Bélgica,1988,0,0
Bélgica,1989,0,0
Bélgica,1990,0,0
Bélgica,1991,0,0
Bélgica,1992,0,0
Bélgica,1993,0,0
Bélgica,1994,0,0
Bélgica,1995,0,0
Bélgica,1996,0,0
Bélgica,1997,0,0
Bélgica,1998,0,0
Bélgica,1999,0,0
Bélgica,2000,0,0
Bélgica,2001,102625,55359
Bélgica,2002,20750,17563
Bélgica,2003,187450,141872
Bélgica,2004,41500,30416
Bélgica,2005,0,0
Bélgica,2006,0,0
Bélgica,2007,0,0
Bélgica,2008,0,0
Bélgica,2009,0,0
Bélgica,2010,0,0
Bélgica,2011,0,0
Bélgica,2012,0,0
Bélgica,2013,0,0
Bélgica,2014,0,0
Bélgica,2015,0,0
Bélgica,2016,0,0
Bélgica,2017,0,0
Bélgica,2018,0,0
Bélgica,2019,0,0
Bélgica,2020,0,0
Bélgica,2021,0,0
Bélgica,2022,0,0
Bélgica,2023,0,0
Chile,1970,4000,1040
Chile,1971,0,0
Chile,1972,0,0
Chile,1973,59747,66242
Chile,1974,0,0
Chile,1975,555818,714754
Chile,1976,582102,643686
Chile,1977,670742,1052119
Chile,1978,756026,1278523
Chile,1979,1088002,2567693
Chile,1980,484040,1100566
Chile,1981,327662,647273
Chile,1982,961997,1572341
Chile,1983,1258680,1527431
Chile,1984,1100570,1051746
Chile,1985,1730970,1608648
Chile,1986,2792410,2668045
Chile,1987,2810680,2854162
Chile,1988,2747990,2277103
Chile,1989,5592520,5272318
Chile,1990,3431648,3543179
Chile,1991,5372062,5582460
Chile,1992,3149429,3817499
Chile,1993,4604409,5788115
Chile,1994,6568978,7727671
Chile,1995,32331682,9055566
Chile,1996,6036433,8191108
Chile,1997,3882680,6518525
Chile,1998,4033736,6056881
Chile,1999,3853245,5815682
Chile,2000,4909468,5801413
Chile,2001,3223998,3319107
Chile,2002,1108017,1020342
Chile,2003,6011522,5283111
Chile,2004,933010,1200730
Chile,2005,534750,735554
Chile,2006,3847300,4531374
Chile,2007,1239130,1415636
Chile,2008,2075850,3697242
Chile,2009,4498510,6469816
Chile,2010,814720,1660791
Chile,2011,1127280,2614062
Chile,2012,2046530,5049441
Chile,2013,453310,1123963
Chile,2014,2615382,5771763
Chile,2015,747700,1522661
Chile,2016,365670,613554
Chile,2017,483305,971604
Chile,2018,127231,290772
Chile,2019,384437,1096176
Chile,2020,286774,567197
Chile,2021,225630,462855
Chile,2022,3584100,5524707
Chile,2023,4411180,7107544
China,1970,0,0
China,1971,0,0
China,1972,0,0
China,1973,0,0
China,1974,0,0
China,1975,0,0
China,1976,0,0
China,1977,0,0
China,1978,0,0
China,1979,0,0
China,1980,0,0
China,1981,0,0
China,1982,0,0
China,1983,0,0
China,1984,0,0
China,1985,0,0
China,1986,0,0
China,1987,0,0
China,1988,0,0
China,1989,0,0
China,1990,0,0
China,1991,0,0
China,1992,0,0
China,1993,0,0
China,1994,0,0
China,1995,0,0
China,1996,0,0
China,1997,0,0
China,1998,0,0
China,1999,0,0
China,2000,0,0
China,2001,0,0
China,2002,0,0
China,2003,0,0
China,2004,0,0
China,2005,0,0
China,2006,0,0
China,2007,0,0
China,2008,0,0
China,2009,0,0
China,2010,0,0
China,2011,0,0
China,2012,0,0
China,2013,0,0
China,2014,0,0
China,2015,0,0
China,2016,0,0
China,2017,0,0
China,2018,0,0
China,2019,0,0
China,2020,172000,178472
China,2021,110,76
China,2022,0,0
China,2023,72000,111390
China Continental,1970,0,0
China Continental,1971,0,0
China Continental,1972,0,0
China Continental,1973,25000,5210
China Continental,1974,0,0
China Continental,1975,0,0
China Continental,1976,0,0
China Continental,1977,0,0
China Continental,1978,0,0
China Continental,1979,0,0
China Continental,1980,0,0
China Continental,1981,0,0
China Continental,1982,0,0
China Continental,1983,0,0
China Continental,1984,0,0
China Continental,1985,0,0
China Continental,1986,0,0
China Continental,1987,0,0
China Continental,1988,0,0
China Continental,1989,0,0
China Continental,1990,0,0
China Continental,1991,0,0
China Continental,1992,0,0
China Continental,1993,0,0
China Continental,1994,0,0
China Continental,1995,41,39
China Continental,1996,0,0
China Continental,1997,0,0
China Continental,1998,0,0
China Continental,1999,0,0
China Continental,2000,0,0
China Continental,2001,0,0
China Continental,2002,0,0
China Continental,2003,0,0
China Continental,2004,0,0
China Continental,2005,0,0
China Continental,2006,0,0
China Continental,2007,148000,250669
China Continental,2008,0,0
China Continental,2009,0,0
China Continental,2010,19000,39520
China Continental,2011,19200,51100
China Continental,2012,63000,216812
China Continental,2013,100027,193223
China Continental,2014,98050,142328
China Continental,2015,0,0
China Continental,2016,0,0
China Continental,2017,53000,65028
China Continental,2018,224165,279253
China Continental,2019,934000,1352954
China Continental,2020,0,0
China Continental,2021,0,0
China Continental,2022,0,0
China Continental,2023,0,0
Cingapura,1970,0,0
Cingapura,1971,0,0
Cingapura,1972,0,0
Cingapura,1973,0,0
Cingapura,1974,0,0
Cingapura,1975,0,0
Cingapura,1976,0,0
Cingapura,1977,0,0
Cingapura,1978,0,0
Cingapura,1979,0,0
Cingapura,1980,0,0
Cingapura,1981,0,0
Cingapura,1982,0,0
Cingapura,1983,0,0
Cingapura,1984,0,0
Cingapura,1985,0,0
Cingapura,1986,0,0
Cingapura,1987,0,0
Cingapura,1988,0,0
Cingapura,1989,0,0
Cingapura,1990,0,0
Cingapura,1991,0,0
Cingapura,1992,0,0
Cingapura,1993,0,0
Cingapura,1994,0,0
Cingapura,1995,0,0
Cingapura,1996,0,0
Cingapura,1997,0,0
Cingapura,1998,0,0
Cingapura,1999,0,0
Cingapura,2000,0,0
Cingapura,2001,0,0
Cingapura,2002,0,0
Cingapura,2003,0,0
Cingapura,2004,0,0
Cingapura,2005,0,0
Cingapura,2006,0,0
Cingapura,2007,0,0
Cingapura,2008,0,0
Cingapura,2009,0,0
Cingapura,2010,0,0
Cingapura,2011,38150,97572
Cingapura,2012,0,0
Cingapura,2013,40000,77213
Cingapura,2014,0,0
Cingapura,2015,0,0
Cingapura,2016,0,0
Cingapura,2017,0,0
Cingapura,2018,0,0
Cingapura,2019,0,0
Cingapura,2020,0,0
Cingapura,2021,0,0
Cingapura,2022,0,0
Cingapura,2023,0,0
Costa Rica,1970,0,0
Costa Rica,1971,0,0
Costa Rica,1972,0,0
Costa Rica,1973,0,0
Costa Rica,1974,0,0
Costa Rica,1975,0,0
Costa Rica,1976,0,0
Costa Rica,1977,0,0
Costa Rica,1978,0,0
Costa Rica,1979,0,0
Costa Rica,1980,0,0
Costa Rica,1981,0,0
Costa Rica,1982,0,0
Costa Rica,1983,0,0
Costa Rica,1984,0,0
Costa Rica,1985,0,0
Costa Rica,1986,0,0
Costa Rica,1987,0,0
Costa Rica,1988,0,0
Costa Rica,1989,0,0
Costa Rica,1990,0,0
Costa Rica,1991,0,0
Costa Rica,1992,0,0
Costa Rica,1993,0,0
Costa Rica,1994,0,0
Costa Rica,1995,0,0
Costa Rica,1996,0,0
Costa Rica,1997,0,0
Costa Rica,1998,0,0
Costa Rica,1999,0,0
Costa Rica,2000,0,0
Costa Rica,2001,0,0
Costa Rica,2002,0,0
Costa Rica,2003,0,0
Costa Rica,2004,0,0
Costa Rica,2005,0,0
Costa Rica,2006,0,0
Costa Rica,2007,0,0
Costa Rica,2008,0,0
Costa Rica,2009,0,0
Costa Rica,2010,0,0
Costa Rica,2011,0,0
Costa Rica,2012,0,0
Costa Rica,2013,0,0
Costa Rica,2014,0,0
Costa Rica,2015,0,0
Costa Rica,2016,0,0
Costa Rica,2017,0,0
Costa Rica,2018,0,0
Costa Rica,2019,0,0
Costa Rica,2020,0,0
Costa Rica,2021,0,0
Costa Rica,2022,49000,95550
Costa Rica,2023,0,0
Emirados,1970,0,0
Emirados,1971,0,0
Emirados,1972,0,0
Emirados,1973,0,0
Emirados,1974,0,0
Emirados,1975,0,0
Emirados,1976,0,0
Emirados,1977,0,0
Emirados,1978,0,0
Emirados,1979,0,0
Emirados,1980,0,0
Emirados,1981,0,0
Emirados,1982,0,0
Emirados,1983,0,0
Emirados,1984,0,0
Emirados,1985,0,0
Emirados,1986,0,0
Emirados,1987,0,0
Emirados,1988,0,0
Emirados,1989,0,0
Emirados,1990,0,0
Emirados,1991,0,0
Emirados,1992,196800,200604
Emirados,1993,0,0
Emirados,1994,36000,36181
Emirados,1995,49580,53853
Emirados,1996,31250,53081
Emirados,1997,89820,103183
Emirados,1998,17420,26546
Emirados,1999,0,0
Emirados,2000,17500,16119
Emirados,2001,36000,23190
Emirados,2002,18000,22750
Emirados,2003,271970,259971
Emirados,2004,329470,351485
Emirados,2005,489760,503598
Emirados,2006,182745,236628
Emirados,2007,0,0
Emirados,2008,124510,204910
Emirados,2009,39000,94203
Emirados,2010,20000,44949
Emirados,2011,35460,100631
Emirados,2012,19000,70026
Emirados,2013,240800,442625
Emirados,2014,100000,184835
Emirados,2015,40000,95856
Emirados,2016,0,0
Emirados,2017,0,0
Emirados,2018,0,0
Emirados,2019,0,0
Emirados,2020,0,0
Emirados,2021,0,0
Emirados,2022,0,0
Emirados,2023,0,0
Espanha,1970,20000,9584
Espanha,1971,15000,14403
Espanha,1972,57208,59951
Espanha,1973,144000,170234
Espanha,1974,9500,14640
Espanha,1975,7500,15495
Espanha,1976,2000,5320
Espanha,1977,0,0
Espanha,1978,3000,10850
Espanha,1979,1680,7056
Espanha,1980,0,0
Espanha,1981,0,0
Espanha,1982,0,0
Espanha,1983,0,0
Espanha,1984,0,0
Espanha,1985,0,0
Espanha,1986,0,0
Espanha,1987,0,0
Espanha,1988,0,0
Espanha,1989,0,0
Espanha,1990,0,0
Espanha,1991,0,0
Espanha,1992,0,0
Espanha,1993,0,0
Espanha,1994,0,0
Espanha,1995,3222,8090
Espanha,1996,338,1158
Espanha,1997,6000,23763
Espanha,1998,6004,25691
Espanha,1999,288,1080
Espanha,2000,303,1096
Espanha,2001,0,0
Espanha,2002,0,0
Espanha,2003,0,0
Espanha,2004,0,0
Espanha,2005,0,0
Espanha,2006,0,0
Espanha,2007,0,0
Espanha,2008,0,0
Espanha,2009,0,0
Espanha,2010,0,0
Espanha,2011,0,0
Espanha,2012,0,0
Espanha,2013,0,0
Espanha,2014,0,0
Espanha,2015,0,0
Espanha,2016,0,0
Espanha,2017,0,0
Espanha,2018,0,0
Espanha,2019,1,24
Espanha,2020,0,0
Espanha,2021,0,0
Espanha,2022,0,0
Espanha,2023,0,0
Estados Unidos,1970,415210,305494
Estados Unidos,1971,429346,292067
Estados Unidos,1972,411443,456999
Estados Unidos,1973,538195,700181
Estados Unidos,1974,953941,1447142
Estados Unidos,1975,494268,674204
Estados Unidos,1976,25285,46885
Estados Unidos,1977,171998,378357
Estados Unidos,1978,102285,251489
Estados Unidos,1979,53591,227326
Estados Unidos,1980,148029,387349
Estados Unidos,1981,126804,326790
Estados Unidos,1982,140722,266479
Estados Unidos,1983,329134,395315
Estados Unidos,1984,128745,132786
Estados Unidos,1985,157087,165238
Estados Unidos,1986,672895,991667
Estados Unidos,1987,117167,178174
Estados Unidos,1988,161093,268528
Estados Unidos,1989,196634,331736
Estados Unidos,1990,167980,337966
Estados Unidos,1991,135629,210446
Estados Unidos,1992,320890,457440
Estados Unidos,1993,772669,1214020
Estados Unidos,1994,832061,1241890
Estados Unidos,1995,643784,990177
Estados Unidos,1996,732591,1405841
Estados Unidos,1997,1397848,2457078
Estados Unidos,1998,1306508,2037588
Estados Unidos,1999,514513,1094056
Estados Unidos,2000,573211,1123705
Estados Unidos,2001,487549,773763
Estados Unidos,2002,427744,557678
Estados Unidos,2003,504069,767763
Estados Unidos,2004,470966,748024
Estados Unidos,2005,448370,966879
Estados Unidos,2006,493921,977964
Estados Unidos,2007,370796,780250
Estados Unidos,2008,448157,923410
Estados Unidos,2009,347316,783086
Estados Unidos,2010,526225,1274258
Estados Unidos,2011,391515,1180759
Estados Unidos,2012,512716,1619257
Estados Unidos,2013,538319,1622047
Estados Unidos,2014,369887,1113398
Estados Unidos,2015,350138,1034494
Estados Unidos,2016,236134,636045
Estados Unidos,2017,257670,671036
Estados Unidos,2018,42859,244215
Estados Unidos,2019,90132,345044
Estados Unidos,2020,105360,266627
Estados Unidos,2021,109043,325880
Estados Unidos,2022,115517,380380
Estados Unidos,2023,7578,58262
França,1970,0,0
França,1971,0,0
França,1972,0,0
França,1973,0,0
França,1974,0,0
França,1975,0,0
França,1976,0,0
França,1977,0,0
França,1978,0,0
França,1979,0,0
França,1980,0,0
França,1981,0,0
França,1982,0,0
França,1983,0,0
França,1984,0,0
França,1985,0,0
França,1986,0,0
França,1987,0,0
França,1988,0,0
França,1989,0,0
França,1990,0,0
França,1991,0,0
França,1992,0,0
França,1993,0,0
França,1994,0,0
França,1995,20,7
França,1996,49,386
França,1997,0,0
França,1998,19510,33593
França,1999,0,0
França,2000,0,0
França,2001,0,0
França,2002,0,0
França,2003,0,0
França,2004,0,0
França,2005,0,0
França,2006,0,0
França,2007,0,0
França,2008,0,0
França,2009,0,0
França,2010,0,0
França,2011,0,0
França,2012,1474,12148
França,2013,720,6016
França,2014,1600,3368
França,2015,658,4705
França,2016,0,0
França,2017,0,0
França,2018,0,0
França,2019,0,0
França,2020,0,0
França,2021,0,0
França,2022,0,0
França,2023,0,0
Grécia,1970,178475,56586
Grécia,1971,302825,95349
Grécia,1972,369763,134178
Grécia,1973,132420,180586
Grécia,1974,139103,149364
Grécia,1975,28335,22989
Grécia,1976,0,0
Grécia,1977,20000,23500
Grécia,1978,12500,12812
Grécia,1979,25000,36813
Grécia,1980,25000,50563
Grécia,1981,0,0
Grécia,1982,0,0
Grécia,1983,0,0
Grécia,1984,0,0
Grécia,1985,0,0
Grécia,1986,0,0
Grécia,1987,0,0
Grécia,1988,0,0
Grécia,1989,0,0
Grécia,1990,0,0
Grécia,1991,0,0
Grécia,1992,154975,160597
Grécia,1993,54000,56960
Grécia,1994,81012,101264
Grécia,1995,21220,27337
Grécia,1996,19000,27170
Grécia,1997,459500,499383
Grécia,1998,138000,151548
Grécia,1999,91000,130910
Grécia,2000,0,0
Grécia,2001,0,0
Grécia,2002,0,0
Grécia,2003,0,0
Grécia,2004,0,0
Grécia,2005,0,0
Grécia,2006,0,0
Grécia,2007,0,0
Grécia,2008,0,0
Grécia,2009,0,0
Grécia,2010,0,0
Grécia,2011,4095,25496
Grécia,2012,0,0
Grécia,2013,0,0
Grécia,2014,10000,24994
Grécia,2015,0,0
Grécia,2016,4000,9248
Grécia,2017,1950,4287
Grécia,2018,1600,5156
Grécia,2019,0,0
Grécia,2020,0,0
Grécia,2021,0,0
Grécia,2022,0,0
Grécia,2023,0,0
Guiana Britânica,1970,334,202
Guiana Britânica,1971,0,0
Guiana Britânica,1972,0,0
Guiana Britânica,1973,0,0
Guiana Britânica,1974,0,0
Guiana Britânica,1975,0,0
Guiana Britânica,1976,0,0
Guiana Britânica,1977,0,0
Guiana Britânica,1978,0,0
Guiana Britânica,1979,0,0
Guiana Britânica,1980,0,0
Guiana Britânica,1981,0,0
Guiana Britânica,1982,0,0
Guiana Britânica,1983,0,0
Guiana Britânica,1984,0,0
Guiana Britânica,1985,0,0
Guiana Britânica,1986,0,0
Guiana Britânica,1987,0,0
Guiana Britânica,1988,0,0
Guiana Britânica,1989,0,0
Guiana Britânica,1990,0,0
Guiana Britânica,1991,0,0
Guiana Britânica,1992,0,0
Guiana Britânica,1993,0,0
Guiana Britânica,1994,0,0
Guiana Britânica,1995,0,0
Guiana Britânica,1996,0,0
Guiana Britânica,1997,0,0
Guiana Britânica,1998,0,0
Guiana Britânica,1999,0,0
Guiana Britânica,2000,0,0
Guiana Britânica,2001,0,0
Guiana Britânica,2002,0,0
Guiana Britânica,2003,0,0
Guiana Britânica,2004,0,0
Guiana Britânica,2005,0,0
Guiana Britânica,2006,0,0
Guiana Britânica,2007,0,0
Guiana Britânica,2008,0,0
Guiana Britânica,2009,0,0
Guiana Britânica,2010,0,0
Guiana Britânica,2011,0,0
Guiana Britânica,2012,0,0
Guiana Britânica,2013,0,0
Guiana Britânica,2014,0,0
Guiana Britânica,2015,0,0
Guiana Britânica,2016,0,0
Guiana Britânica,2017,0,0
Guiana Britânica,2018,0,0
Guiana Britânica,2019,0,0
Guiana Britânica,2020,0,0
Guiana Britânica,2021,0,0
Guiana Britânica,2022,0,0
Guiana Britânica,2023,0,0
Índia,1970,0,0
Índia,1971,0,0
Índia,1972,0,0
Índia,1973,0,0
Índia,1974,0,0
Índia,1975,0,0
Índia,1976,0,0
Índia,1977,0,0
Índia,1978,0,0
Índia,1979,0,0
Índia,1980,0,0
Índia,1981,0,0
Índia,1982,0,0
Índia,1983,0,0
Índia,1984,0,0
Índia,1985,0,0
Índia,1986,0,0
Índia,1987,0,0
Índia,1988,0,0
Índia,1989,0,0
Índia,1990,0,0
Índia,1991,0,0
Índia,1992,0,0
Índia,1993,0,0
Índia,1994,0,0
Índia,1995,0,0
Índia,1996,0,0
Índia,1997,0,0
Índia,1998,0,0
Índia,1999,0,0
Índia,2000,0,0
Índia,2001,0,0
Índia,2002,0,0
Índia,2003,0,0
Índia,2004,0,0
Índia,2005,0,0
Índia,2006,0,0
Índia,2007,0,0
Índia,2008,0,0
Índia,2009,128000,270168
Índia,2010,0,0
Índia,2011,0,0
Índia,2012,166862,268758
Índia,2013,36000,64213
Índia,2014,247000,377422
